ResponseId,Q1_brand_aware,Q2_satisfaction,Q3_nps,age,gender,segment,open_end
R_0001,0,1,4,33,1,2,"She said ""amazing"" experience"
R_0002,0,5,6,20,1,1,Need better pricing
R_0003,0,5,9,19,1,4,Need better pricing
R_0004,1,5,4,69,1,2,Customer service was top-notch
R_0005,1,3,2,31,2,1,"She said ""amazing"" experience"
R_0006,1,1,5,72,2,3,"Great service, would recommend!"
R_0007,1,5,1,42,1,3,
R_0008,0,1,0,60,1,3,"She said ""amazing"" experience"
R_0009,0,1,6,35,2,3,"Multi-line
response here"
R_0010,1,3,3,60,2,1,"Multi-line
response here"
R_0011,0,2,7,42,2,2,
R_0012,0,2,0,69,2,4,Love the new design
R_0013,0,2,9,74,2,2,Confusing checkout flow
R_0014,1,4,2,34,1,2,Love the new design
R_0015,1,5,6,41,1,2,Confusing checkout flow
R_0016,0,1,1,27,1,4,"She said ""amazing"" experience"
R_0017,1,4,9,47,2,1,"She said ""amazing"" experience"
R_0018,1,3,1,36,2,2,Confusing checkout flow
R_0019,0,3,8,66,1,1,Love the new design
R_0020,0,2,5,66,1,1,
R_0021,1,1,1,41,2,2,"Great service, would recommend!"
R_0022,0,5,1,23,2,1,"Multi-line
response here"
R_0023,0,4,8,28,2,4,Need better pricing
R_0024,0,3,6,60,2,4,Confusing checkout flow
R_0025,0,2,3,22,2,1,Need better pricing
R_0026,0,1,1,63,1,2,"She said ""amazing"" experience"
R_0027,0,3,1,50,1,3,Confusing checkout flow
R_0028,0,5,2,64,2,2,Confusing checkout flow
R_0029,1,2,1,24,2,3,Customer service was top-notch
R_0030,1,4,0,61,1,1,Customer service was top-notch
R_0031,1,1,3,30,1,4,"Multi-line
response here"
R_0032,1,2,4,47,1,1,Confusing checkout flow
R_0033,0,1,10,52,1,1,Need better pricing
R_0034,0,4,7,48,1,4,"Great service, would recommend!"
R_0035,0,4,0,42,2,4,Love the new design
R_0036,1,5,10,63,2,2,Need better pricing
R_0037,1,2,0,55,1,3,"Great service, would recommend!"
R_0038,0,5,7,50,1,1,"She said ""amazing"" experience"
R_0039,0,1,9,22,1,4,"She said ""amazing"" experience"
R_0040,0,5,9,20,1,4,
R_0041,1,2,10,63,2,2,Love the new design
R_0042,1,2,10,59,2,4,
R_0043,0,1,7,57,1,1,Need better pricing
R_0044,1,2,5,74,1,2,
R_0045,1,2,7,71,2,1,Love the new design
R_0046,0,2,4,25,1,2,Love the new design
R_0047,1,5,3,63,2,2,Love the new design
R_0048,1,3,0,23,2,3,"Great service, would recommend!"
R_0049,0,3,2,58,2,2,Confusing checkout flow
R_0050,1,5,0,25,1,2,"Great service, would recommend!"
R_0051,1,5,8,27,2,2,"Great service, would recommend!"
R_0052,1,3,0,75,2,2,Need better pricing
R_0053,0,3,8,74,2,2,Need better pricing
R_0054,0,2,6,19,1,3,Customer service was top-notch
R_0055,0,3,2,68,1,4,"Great service, would recommend!"
R_0056,1,2,3,70,2,3,Love the new design
R_0057,0,2,0,60,1,4,
R_0058,1,1,4,40,2,3,"Great service, would recommend!"
R_0059,0,3,2,55,2,1,"She said ""amazing"" experience"
R_0060,1,3,5,45,1,4,Need better pricing
R_0061,1,1,6,18,1,3,Customer service was top-notch
R_0062,0,3,9,38,1,3,Love the new design
R_0063,1,3,6,62,2,2,Need better pricing
R_0064,1,4,10,65,1,3,Customer service was top-notch
R_0065,0,3,4,31,2,3,Confusing checkout flow
R_0066,1,4,10,31,2,2,"She said ""amazing"" experience"
R_0067,1,5,10,58,2,1,Need better pricing
R_0068,1,2,3,27,1,1,Need better pricing
R_0069,1,5,1,47,2,2,Customer service was top-notch
R_0070,1,4,3,27,1,1,Customer service was top-notch
R_0071,0,2,8,47,1,2,"She said ""amazing"" experience"
R_0072,1,2,7,60,2,4,Customer service was top-notch
R_0073,1,2,7,46,2,2,Love the new design
R_0074,1,2,4,46,1,3,Need better pricing
R_0075,1,3,5,75,1,2,"Multi-line
response here"
R_0076,0,4,2,63,1,1,Customer service was top-notch
R_0077,1,3,8,47,2,1,Need better pricing
R_0078,1,4,9,62,1,4,Confusing checkout flow
R_0079,0,3,4,66,2,4,Need better pricing
R_0080,1,2,4,45,2,1,Customer service was top-notch
R_0081,1,4,2,71,2,2,"Great service, would recommend!"
R_0082,1,5,9,60,1,1,Customer service was top-notch
R_0083,0,4,2,21,2,4,
R_0084,0,4,5,39,2,3,Customer service was top-notch
R_0085,1,1,7,19,1,3,Need better pricing
R_0086,0,1,0,33,1,1,"Multi-line
response here"
R_0087,0,2,7,60,1,2,Confusing checkout flow
R_0088,1,3,2,56,1,2,Love the new design
R_0089,0,5,0,37,2,4,Need better pricing
R_0090,0,5,10,33,1,3,"She said ""amazing"" experience"
R_0091,0,3,8,45,2,1,
R_0092,0,4,7,24,2,3,Confusing checkout flow
R_0093,0,4,2,64,2,4,Confusing checkout flow
R_0094,1,5,4,38,1,1,Love the new design
R_0095,1,2,7,54,2,3,"Great service, would recommend!"
R_0096,1,3,2,49,1,3,Love the new design
R_0097,1,3,9,62,2,1,Need better pricing
R_0098,0,2,6,49,1,4,Confusing checkout flow
R_0099,1,1,1,36,1,4,Need better pricing
R_0100,1,5,5,48,2,4,
R_0101,1,4,4,37,2,2,"She said ""amazing"" experience"
R_0102,0,3,1,65,1,2,Need better pricing
R_0103,1,3,9,66,2,1,Need better pricing
R_0104,1,2,5,29,2,1,"Multi-line
response here"
R_0105,1,1,0,53,2,2,Confusing checkout flow
R_0106,0,1,9,36,2,4,Confusing checkout flow
R_0107,1,2,0,34,2,1,"She said ""amazing"" experience"
R_0108,1,4,1,54,1,2,"Multi-line
response here"
R_0109,1,1,3,25,2,2,Customer service was top-notch
R_0110,1,4,4,73,2,3,"Great service, would recommend!"
R_0111,0,2,10,31,2,1,"Multi-line
response here"
R_0112,0,2,8,22,1,1,Customer service was top-notch
R_0113,1,5,7,36,1,2,Love the new design
R_0114,1,4,1,61,1,3,Need better pricing
R_0115,1,1,8,32,1,3,"Multi-line
response here"
R_0116,0,1,2,68,2,3,Confusing checkout flow
R_0117,0,4,4,62,2,3,Confusing checkout flow
R_0118,1,1,9,20,2,3,Love the new design
R_0119,0,1,3,61,1,3,"Great service, would recommend!"
R_0120,0,4,8,59,2,3,"Multi-line
response here"
R_0121,1,4,1,48,2,4,
R_0122,1,1,2,39,2,4,Love the new design
R_0123,1,5,0,47,1,3,Love the new design
R_0124,1,1,6,73,1,4,Customer service was top-notch
R_0125,0,2,8,41,2,4,"Great service, would recommend!"
R_0126,0,3,8,26,2,4,Confusing checkout flow
R_0127,0,1,10,56,1,2,Love the new design
R_0128,0,5,6,23,1,1,Confusing checkout flow
R_0129,0,2,7,63,2,3,Customer service was top-notch
R_0130,1,4,3,47,1,4,Need better pricing
R_0131,0,1,4,67,2,3,Love the new design
R_0132,0,3,4,71,2,2,Confusing checkout flow
R_0133,1,3,5,53,2,4,
R_0134,0,2,9,42,1,4,"Great service, would recommend!"
R_0135,1,4,6,42,1,4,"Great service, would recommend!"
R_0136,0,5,9,39,1,4,"She said ""amazing"" experience"
R_0137,1,1,2,44,1,1,Confusing checkout flow
R_0138,1,3,9,62,2,1,
R_0139,1,3,10,63,2,1,"She said ""amazing"" experience"
R_0140,0,3,3,65,1,4,"She said ""amazing"" experience"
R_0141,0,4,2,62,2,1,"Great service, would recommend!"
R_0142,1,1,4,40,2,4,"Multi-line
response here"
R_0143,0,5,6,54,1,2,"Multi-line
response here"
R_0144,0,5,6,57,1,4,"Multi-line
response here"
R_0145,0,4,10,34,2,3,"Great service, would recommend!"
R_0146,1,3,10,52,1,1,Confusing checkout flow
R_0147,1,5,4,58,2,3,Confusing checkout flow
R_0148,1,2,6,72,2,1,Need better pricing
R_0149,1,5,5,54,2,3,"Great service, would recommend!"
R_0150,1,3,0,54,1,4,Love the new design
R_0151,0,5,5,32,1,3,"Multi-line
response here"
R_0152,0,1,4,68,2,1,
R_0153,0,1,4,38,2,2,Need better pricing
R_0154,0,5,5,51,2,2,Love the new design
R_0155,1,3,5,69,1,4,"She said ""amazing"" experience"
R_0156,0,2,10,64,2,3,"She said ""amazing"" experience"
R_0157,1,1,4,52,1,4,
R_0158,1,5,6,70,2,1,Need better pricing
R_0159,1,1,9,74,2,2,"She said ""amazing"" experience"
R_0160,1,3,10,44,1,2,"Great service, would recommend!"
R_0161,0,3,7,25,1,2,"Multi-line
response here"
R_0162,1,4,5,60,2,2,Customer service was top-notch
R_0163,0,4,9,44,2,1,
R_0164,0,4,7,33,2,1,
R_0165,1,1,6,35,1,1,Confusing checkout flow
R_0166,0,2,10,58,1,1,
R_0167,0,2,9,31,1,2,Need better pricing
R_0168,0,3,2,68,1,3,"Multi-line
response here"
R_0169,0,5,4,69,1,1,"Great service, would recommend!"
R_0170,0,1,5,68,1,3,"Great service, would recommend!"
R_0171,0,3,0,26,2,1,"She said ""amazing"" experience"
R_0172,1,4,5,50,1,4,Need better pricing
